,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
55195,104,102,29,104-102-29,Regular,01,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55196,104,102,3,104-102-3,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,1,1,0,1,,1,,,,,
55197,104,102,94,104-102-94,Regular,01,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55198,104,102,93,104-102-93,Regular,01,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55199,104,102,59,104-102-59,Regular,01,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55200,104,102,58,104-102-58,Regular,01,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,,1,,1,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55201,104,102,39,104-102-39,Regular,01,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55202,104,102,30,104-102-30,Regular,01,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55203,104,102,5,104-102-5,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,,1,,,,,
55204,104,102,80,104-102-80,Regular,01,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55205,104,102,79,104-102-79,Regular,01,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55206,104,102,45,104-102-45,Regular,01,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,,1,,0,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,
55207,104,102,31,104-102-31,Regular,01,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,,0,,0,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55208,104,102,12,104-102-12,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,
55209,104,102,100,104-102-100,Regular,01,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55210,104,102,99,104-102-99,Regular,01,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55211,104,102,72,104-102-72,Regular,01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55212,104,102,71,104-102-71,Regular,01,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,,0,,0,,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55213,104,102,48,104-102-48,Regular,01,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55214,104,102,32,104-102-32,Regular,01,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55215,104,102,8,104-102-8,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,,1,,,,,
55216,104,102,76,104-102-76,Regular,01,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,,0,,0,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55217,104,102,75,104-102-75,Regular,01,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,1,,1,,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55218,104,102,47,104-102-47,Regular,01,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55219,104,102,33,104-102-33,Regular,01,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,,0,,0,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55220,104,102,13,104-102-13,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,1,,,,,
55221,104,102,82,104-102-82,Regular,01,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55222,104,102,81,104-102-81,Regular,01,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55223,104,102,70,104-102-70,Regular,01,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55224,104,102,44,104-102-44,Regular,01,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
55225,104,102,14,104-102-14,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,,1,,,,,
55226,104,102,83,104-102-83,Regular,01,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55227,104,102,7,104-102-7,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,1,0,0,0,,0,,,,,
55228,104,102,84,104-102-84,Regular,01,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55229,104,102,10,104-102-10,Regular,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,1,,,,,
55230,104,102,35,104-102-35,Regular,01,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,1,,1,,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55231,104,102,28,104-102-28,Regular,01,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,1,,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
55232,109,64,84,109-64-84,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55233,109,64,83,109-64-83,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,
55234,109,64,53,109-64-53,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,,,,,,,
55235,109,64,52,109-64-52,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
55236,109,64,35,109-64-35,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55237,109,64,19,109-64-19,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,,1,,1,,,
55238,109,64,1,109-64-1,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,,,,,,,
55239,109,64,82,109-64-82,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,,,,,,
55240,109,64,81,109-64-81,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,,,,,,,
55241,109,64,50,109-64-50,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55242,109,64,20,109-64-20,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,1,,,
55243,109,64,3,109-64-3,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,,,,,,,
55244,109,64,100,109-64-100,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,
55245,109,64,99,109-64-99,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,,,,,,
55246,109,64,62,109-64-62,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,1,1,,,,
55247,109,64,61,109-64-61,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,,,,,,,
55248,109,64,39,109-64-39,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,
55249,109,64,21,109-64-21,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55250,109,64,16,109-64-16,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,,0,,0,,,
55251,109,64,90,109-64-90,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,,1,,,
55252,109,64,89,109-64-89,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55253,109,64,60,109-64-60,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,,,,,,
55254,109,64,59,109-64-59,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
55255,109,64,38,109-64-38,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,1,1,,,,
55256,109,64,22,109-64-22,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55257,109,64,17,109-64-17,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55258,109,64,70,109-64-70,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,,1,,,
55259,109,64,69,109-64-69,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,1,,1,,,
55260,109,64,48,109-64-48,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,,1,,,
55261,109,64,23,109-64-23,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55262,109,64,2,109-64-2,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55263,109,64,98,109-64-98,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55264,109,64,97,109-64-97,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55265,109,64,80,109-64-80,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55266,109,64,79,109-64-79,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55267,109,64,43,109-64-43,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,,0,,,
55268,109,64,42,109-64-42,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55269,109,64,36,109-64-36,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,1,0,1,,,,,,,
55270,109,64,24,109-64-24,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,0,0,1,,,,,,,
55271,109,64,10,109-64-10,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55272,109,64,96,109-64-96,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,,1,,,
55273,109,64,95,109-64-95,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55274,109,64,64,109-64-64,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,0,0,1,,1,1,,,,
55275,109,64,63,109-64-63,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,1,1,,,,
55276,109,64,41,109-64-41,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55277,109,64,25,109-64-25,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,,,,,,,
55278,109,64,13,109-64-13,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,,1,1,,,,
55279,109,64,88,109-64-88,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55280,109,64,87,109-64-87,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,
55281,109,64,56,109-64-56,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
55282,109,64,55,109-64-55,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,1,0,0,1,,,,,,,
55283,109,64,37,109-64-37,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55284,109,64,26,109-64-26,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,,,,,,
55285,109,64,18,109-64-18,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,1,0,0,,0,,1,,,
55286,109,64,72,109-64-72,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55287,109,64,71,109-64-71,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55288,109,64,46,109-64-46,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55289,109,64,27,109-64-27,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55290,109,64,8,109-64-8,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
55291,109,64,49,109-64-49,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,0,0,1,,,,,,,
55292,109,64,28,109-64-28,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,1,0,0,,,,,,,
55293,109,64,12,109-64-12,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55294,109,64,76,109-64-76,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,0,,,,,,,
55295,109,64,75,109-64-75,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55296,109,64,51,109-64-51,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,,,,,,,
55297,109,64,29,109-64-29,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55298,109,64,4,109-64-4,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,1,0,0,0,,,,,,,
55299,109,64,86,109-64-86,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,1,1,,,,
55300,109,64,85,109-64-85,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,1,1,0,1,,1,1,,,,
55301,109,64,58,109-64-58,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55302,109,64,57,109-64-57,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,
55303,109,64,40,109-64-40,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55304,109,64,30,109-64-30,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,,,,,,,
55305,109,64,6,109-64-6,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
55306,109,64,94,109-64-94,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,0,1,1,,1,,1,,,
55307,109,64,93,109-64-93,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,1,,1,,,
55308,109,64,74,109-64-74,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,1,,,,,,,
55309,109,64,73,109-64-73,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,1,0,1,,,,,,,
55310,109,64,54,109-64-54,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55311,109,64,31,109-64-31,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
55312,109,64,5,109-64-5,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,,,,,,,
55313,109,64,78,109-64-78,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,1,1,0,1,1,,,,,,,
55314,109,64,77,109-64-77,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,0,1,1,,,,,,,
55315,109,64,45,109-64-45,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,0,1,1,,1,,1,,,
55316,109,64,32,109-64-32,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
55317,109,64,9,109-64-9,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,1,0,1,,,,,,,
55318,109,64,92,109-64-92,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,1,,,
55319,109,64,91,109-64-91,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,1,1,,1,,1,,,
55320,109,64,66,109-64-66,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,,
55321,109,64,65,109-64-65,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,0,1,,1,,1,,,
55322,109,64,44,109-64-44,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,1,0,0,,1,,1,,,
55323,109,64,33,109-64-33,Regular,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,1,0,1,,,,,,,
55324,109,64,14,109-64-14,Regular,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,
55325,109,64,68,109-64-68,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,1,1,0,1,1,,1,,1,,,
55326,109,64,67,109-64-67,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,1,1,,1,,1,,,
55327,109,64,47,109-64-47,Regular,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,,
