parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.04, StatRejectNull, 4.04, 1031.62, 1031.62, 1128.37, 2.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.05, StatRejectNull, 2.86, 494.47, 494.47, 555.52, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.05, StatRejectNull, 3.66, 445.45, 445.45, 506.64, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.003, StatRejectNull, 2.97, 7960.79, 7960.79, 8740.24, 10.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.02, StatRejectNull, 3.73, 1849.84, 1849.84, 2075.09, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.01, StatRejectNull, 4.25, 4331.32, 4331.32, 4877.0, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.004, StatRejectNull, 3.28, 7642.5, 7642.5, 8373.18, 11.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.005, StatRejectNull, 3.69, 6888.2300000000005, 6888.2300000000005, 7705.33, 4.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.03, StatRejectNull, 5.94, 2532.79, 2532.79, 2650.83, 17.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.016, StatRejectNull, 4.26, 2723.82, 2723.82, 3091.26, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.006, StatRejectNull, 4.0, 6294.3, 6294.3, 7014.32, 1.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.008, StatRejectNull, 4.33, 5703.38, 5703.38, 6430.15, 0.0
