parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.12, 162.86, 162.86, 172.63, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.09, 157.09, 157.09, 162.02, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.1, 167.18, 167.18, 232.98, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.04, StatRejectNull, 1.05, 154.49, 154.49, 176.99, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.24, 574.72, 574.72, 733.91, 0.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.32, 638.44, 638.44, 688.15, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.012, StatRejectNull, 2.08, 566.63, 566.63, 676.71, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.25, 438.69, 438.69, 523.46, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.012, StatRejectNull, 1.13, 629.38, 629.38, 1271.66, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.02, StatRejectNull, 1.16, 331.85, 331.85, 360.34, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.11, 215.95, 215.95, 260.92, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.03, StatRejectNull, 1.21, 240.22, 240.22, 260.73, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.06, 431.09, 431.09, 786.72, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.32, 5189.74, 5189.74, 5673.6900000000005, 23.0
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.1, 129.42, 129.42, 133.29, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.04, StatRejectNull, 2.01, 164.03, 164.03, 195.78, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.016, StatRejectNull, 1.99, 406.37, 406.37, 487.34, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.02, StatRejectNull, 2.04, 337.35, 337.35, 403.69, 0.0
"nruns=100 cat=clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.1, 123.89, 123.89, 134.75, 0.0
"nruns=100 cat=2*clcaFuzzPct mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.06, 127.36, 127.36, 159.91, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.03, StatRejectNull, 2.06, 223.17, 223.17, 267.27, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.05, StatRejectNull, 2.0, 126.54, 126.54, 151.63, 0.0
"nruns=100 cat=clcaFuzzPct/2 mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.11, 127.13, 127.13, 137.11, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.001 auditType=3.0 ", 10000, 0.001, StatRejectNull, 1.78, 8459.009999999998, 8459.009999999998, 8994.419999999998, 69.0
