parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 2877.24, 2878.24, 0.0, 0.0, 2356.680110324691, 0.007953300000000003
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 14497.720000000001, 14498.64, 8000.0, 8.0, 14872.46591777656, 0.007930399999999997
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 84073.9, 84074.06, 84000.0, 84.0, 254.14584272617958, 0.007882600000000009
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 75111.65, 75111.9, 75000.0, 75.0, 320.18007433317894, 0.011556900000000002
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.008, StatRejectNull, 1.0, 6072.27, 6073.2699999999995, 0.0, 0.0, 4268.384684760734, 0.0079201
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 539.44, 540.4399999999996, 0.0, 0.0, 460.1097112646069, 0.0159415
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 989.9, 990.9000000000003, 0.0, 0.0, 994.1232670046506, 0.015834800000000003
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 498.0, 499.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 632.51, 633.5100000000001, 0.0, 0.0, 541.6429357981142, 0.01587479999999999
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 493.67, 494.6699999999998, 0.0, 0.0, 289.53987825513775, 0.0159454
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 1238.99, 1239.9900000000002, 0.0, 0.0, 1152.1094001439274, 0.009952300000000002
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 55605.43000000001, 55605.880000000005, 55000.00000000001, 55.00000000000001, 2071.9101160255213, 0.009878699999999997
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 3198.0, 3199.0, 0.0, 0.0, 8076.827166653996, 0.009930200000000016
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 710.37, 711.37, 0.0, 0.0, 469.6657248511968, 0.011934900000000003
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 3465.62, 3466.620000000001, 0.0, 0.0, 2463.856943006229, 0.015684200000000002
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.01, StatRejectNull, 1.0, 7911.3, 7912.300000000001, 0.0, 0.0, 5620.0271894360085, 0.009789799999999998
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 1840.91, 1841.91, 0.0, 0.0, 3818.137480748958, 0.011946100000000001
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 6360.75, 6361.75, 0.0, 0.0, 4190.272946658725, 0.011647400000000007
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 2615.15, 2616.150000000001, 0.0, 0.0, 2147.167722256461, 0.011886600000000004
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 66130.13, 66130.47, 66000.0, 66.0, 272.0910648622161, 0.015581800000000003
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.012, StatRejectNull, 1.0, 34218.75, 34219.42, 33000.0, 33.0, 2301.318531664741, 0.011696599999999988
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 1958.39, 1959.39, 0.0, 0.0, 1560.4128549521758, 0.015704200000000005
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.016, StatRejectNull, 1.0, 12914.779999999999, 12915.69, 9000.0, 9.0, 8809.460867005348, 0.015779100000000004
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 308.0, 309.0, 0.0, 0.0, 0.0, 0.020000000000000018
