parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.2, 312.82, 142.83, 312.82, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 1.32, 327.87, 159.14, 327.87, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 1.52, 443.22, 220.84, 443.22, 0.0
"nruns=100.0 strat=1.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.28, 261.46, 124.81, 261.46, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.07, StatRejectNull, 2.11, 1128.27, 506.73, 1128.27, 0.0
"nruns=100.0 strat=3.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 1.26, 270.0, 131.45, 270.0, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.08, StatRejectNull, 2.04, 856.45, 476.74, 856.45, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.4393939393939394, 41458.01515151515, 29079.575757575756, 41490.833333333336, 34.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.09, StatRejectNull, 2.04, 745.6, 407.63, 745.6, 0.0
"nruns=100.0 strat=2.0 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 50000, 0.1, StatRejectNull, 2.16, 633.91, 304.53, 633.91, 0.0
