parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 18950.4, 0.0, 0.0, 0.0, 9235.69677609654, 0.004999999999999893, -18950.4
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 17880.149999999998, 0.0, 0.0, 0.0, 8195.240919430007, 0.010000000000000009, -17880.15
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 29413.5, 0.0, 0.0, 0.0, 10411.290590027733, 0.004999999999999893, -29413.5
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 2500.8500000000004, 0.0, 0.0, 0.0, 1966.2987889687568, 0.050000000000000044, -2500.85
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 346.35, 0.0, 0.0, 0.0, 167.2164091828311, 0.040000000000000036, -346.35
"nruns=20 cat=clca ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 103.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000005, -103.0
"nruns=20 cat=clca ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 123.0, 0.0, 0.0, 0.0, 0.0, 0.050000000000000044, -123.0
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 1660.6000000000004, 0.0, 0.0, 0.0, 1512.4074318780636, 0.06000000000000005, -1660.6
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 548.65, 0.0, 0.0, 0.0, 317.5840479306226, 0.06000000000000005, -548.65
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 497.15, 0.0, 0.0, 0.0, 388.93422001670154, 0.050000000000000044, -497.15
