parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.005, 540, 10000, 1129354, 3136.649541573454 , "10000 [1:413 2:21 3:6 4:13 5:3 6:6 7:2 8:8 9:7 10:7 11:54 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.504, -0.05, 1386, 10000, 13253034, 4.352645403712146 , "10000 [10:1386 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.02, 207, 10000, 2039739, 1.6733953650852234 , "10000 [10:207 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.0075, 75, 10000, 46350, 0.0 , "10000 [1:75 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.05, 1873, 10000, 17926101, 4.403081649299617 , "10000 [10:1873 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.01, 19, 10000, 11742, 0.0 , "10000 [1:19 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.0075, 547, 10000, 1017188, 3159.1496494306984 , "10000 [1:411 2:35 3:9 4:9 5:6 6:4 7:5 8:3 9:1 10:1 11:63 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.03, 596, 10000, 5815685, 2.6200828907324616 , "10000 [10:596 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.505, -0.04, 1183, 10000, 11431763, 3.3872094286470635 , "10000 [10:1183 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.0075, 177, 10000, 99627, 249.49665425519257 , "10000 [1:169 2:6 3:2 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.01, 54, 10000, 27810, 0.0 , "10000 [1:54 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.03, 565, 10000, 5518593, 2.4421610670513045 , "10000 [10:565 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.02, 183, 10000, 1795698, 689.1825566819365 , "10000 [1:1 10:182 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.01, 142, 10000, 60222, 107.06877543930634 , "10000 [1:140 2:2 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.04, 1165, 10000, 11268475, 3.6205322777327824 , "10000 [10:1165 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.506, -0.05, 2233, 10000, 21391553, 4.338286644353207 , "10000 [10:2233 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.02, 202, 10000, 1976495, 937.263937681666 , "10000 [1:2 10:200 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.001, 10000, 10000, 6437619, 402.95050888215843 , "10000 [1:6678 2:3208 3:114 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.002, 10000, 10000, 10314398, 704.8872885617659 , "10000 [1:4487 2:3895 3:1546 4:72 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.005, 10000, 10000, 40919307, 2089.7296219122513 , "10000 [1:1404 2:521 3:852 4:1081 5:1783 6:2118 7:1876 8:364 9:1 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.002, 10000, 10000, 6891082, 478.38567191415814 , "10000 [1:6777 2:3096 3:127 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.001, 10000, 10000, 4613489, 277.45294045799926 , "10000 [1:8906 2:1094 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.0075, 10000, 10000, 92417449, 2303.6293785294506 , "10000 [1:553 2:52 3:19 4:18 5:14 6:19 7:20 8:35 9:83 10:3095 11:6092 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.04, 1486, 10000, 14394762, 3.540033452922998 , "10000 [10:1486 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.005, 10000, 10000, 22156035, 1397.579768631382 , "10000 [1:2460 2:1858 3:2317 4:2177 5:1003 6:182 7:3 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.03, 855, 10000, 8362975, 2.4999162121320295 , "10000 [10:855 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.5075, -0.05, 2594, 10000, 24885906, 4.280479472720388 , "10000 [10:2594 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.001, 10000, 10000, 1902327, 95.30457570709807 , "10000 [1:9999 2:1 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.0075, 10000, 10000, 58167628, 2363.676477045063 , "10000 [1:968 2:230 3:231 4:376 5:616 6:1165 7:2017 8:3081 9:1315 10:1 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.002, 10000, 10000, 2358045, 153.04669248222922 , "10000 [1:9974 2:26 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.01, 186, 10000, 74479, 103.4859983837759 , "10000 [1:182 2:4 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.0075, 10000, 10000, 7627888, 569.9055079524675 , "10000 [1:5952 2:3698 3:346 4:4 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.005, 10000, 10000, 4456241, 339.4479821698612 , "10000 [1:8628 2:1371 3:1 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.02, 225, 10000, 2176303, 1399.9869203339622 , "10000 [1:5 10:220 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.01, 10000, 10000, 13541735, 930.1945247085426 , "10000 [1:3487 2:3584 3:2354 4:555 5:20 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.05, 2553, 10000, 24504545, 4.397740639399839 , "10000 [10:2553 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.04, 1639, 10000, 15883926, 3.6297767836824195 , "10000 [10:1639 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.508, -0.03, 871, 10000, 8523883, 2.495669499282265 , "10000 [10:871 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.01, 524, 10000, 349587, 1464.626972992953 , "10000 [1:470 2:28 3:7 4:4 6:1 7:1 8:3 9:1 10:5 11:4 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.02, 293, 10000, 2728639, 2303.7863264208295 , "10000 [1:18 10:31 11:244 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.02, 664, 10000, 2146866, 4518.620693676111 , "10000 [1:448 2:5 3:3 4:2 5:1 7:1 10:2 11:202 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.03, 909, 10000, 8913287, 2.6135020662527806 , "10000 [10:909 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.04, 1827, 10000, 17741016, 3.415270142534703 , "10000 [10:1827 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.51, -0.05, 2909, 10000, 27975229, 4.448558107892919 , "10000 [10:2909 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.03, 1133, 10000, 10215416, 2802.1248876450736 , "10000 [1:103 10:229 11:801 ]"
"p2oracle=0.04 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.04, 2550, 10000, 24858546, 738.1195266866492 , "10000 [1:15 10:2535 ]"
"p2oracle=0.05 p2prior=0.001 d2=100.0 ", 10000, 0.52, -0.05, 4319, 10000, 41898742, 290.7438900614001 , "10000 [1:4 10:4315 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.001, 10000, 10000, 1167428, 50.588728469492104 , "10000 [1:10000 ]"
