parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100.0 cat=1.0 fuzzDiff=0.005 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.02, 1900.03, 1900.0299999999995, 4661.62, 0.0, 1154.6089593884158
"nruns=100.0 cat=1.0 fuzzDiff=0.01 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.02, 1164.17, 1164.17, 3134.65, 0.0, 726.127978458343
"nruns=100.0 cat=1.0 fuzzDiff=0.0 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.07, 13492.33, 13492.330000000004, 28797.84, 0.0, 8088.430460917618
"nruns=100.0 cat=1.0 fuzzDiff=0.01 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.015, StatRejectNull, 1.02, 1920.94, 1920.94, 5737.01, 0.0, 1379.5793113844527
"nruns=100.0 cat=1.0 fuzzDiff=0.005 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.0, 3671.32, 3671.3199999999997, 10466.52, 0.0, 2342.8945767148803
"nruns=100.0 cat=1.0 fuzzDiff=0.005 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.04, 13575.16, 13575.159999999994, 33642.62, 0.0, 8780.874556352574
"nruns=100.0 cat=1.0 fuzzDiff=0.01 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.01, StatRejectNull, 1.0, 4630.24, 4630.240000000001, 13074.66, 0.0, 3035.52500935176
"nruns=100.0 cat=1.0 fuzzDiff=0.005 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.02, 6851.03, 6851.030000000002, 18301.78, 0.0, 4827.951523068557
"nruns=100.0 cat=1.0 fuzzDiff=0.01 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.00752, StatRejectNull, 1.0, 6402.09, 6402.089999999999, 22284.1, 0.0, 4655.635632424428
"nruns=100.0 cat=1.0 fuzzDiff=0.01 fuzzMvrs=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 50000, 0.005, StatRejectNull, 1.0, 13055.78, 13055.779999999999, 37888.69, 0.0, 8177.459124422451
