parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.06, StatRejectNull, 1.66, 185.51, 185.50999999999993, 202.05, 0.0, 176.90101723845456
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.012, StatRejectNull, 2.3, 1278.76, 1278.76, 1455.39, 0.0, 1110.9844204128158
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.05, StatRejectNull, 1.71, 228.19, 228.18999999999997, 257.23, 0.0, 216.43334747676943
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.1, StatRejectNull, 1.46, 93.12, 93.12, 101.9, 0.0, 83.74595870846545
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.008, StatRejectNull, 2.59, 2258.56, 2258.560000000001, 2571.22, 0.0, 1817.0112785560798
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.08, StatRejectNull, 1.64, 141.69, 141.6899999999999, 155.04, 0.0, 123.47766559179846
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.01, StatRejectNull, 2.65, 1943.98, 1943.98, 2144.05, 0.0, 1429.376353379333
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.02, StatRejectNull, 2.22, 789.61, 789.6100000000001, 899.31, 0.0, 748.8787204214045
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.07, StatRejectNull, 1.82, 166.85, 166.84999999999997, 185.14, 0.0, 143.15099545584727
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.03, StatRejectNull, 2.31, 534.46, 534.46, 594.11, 0.0, 449.50747313031405
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.04, StatRejectNull, 2.13, 375.98, 375.9800000000002, 422.56, 0.0, 344.7951850011831
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.005, StatRejectNull, 2.87, 4185.08, 4185.079999999999, 4657.97, 0.0, 2377.8942814179104
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 10000, 0.006, StatRejectNull, 2.9, 3625.49, 3625.4899999999993, 4078.5, 0.0, 2212.5584082459836
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.89, 8418.119999999999, 8018.130000000001, 9116.35, 9.0, 2789.171076338012
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.016, StatRejectNull, 2.75, 1383.42, 1383.4200000000005, 1545.92, 0.0, 1132.3600503373475
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.003, StatRejectNull, 2.98, 7246.4800000000005, 7046.49, 8058.39, 2.0, 2724.8925769876596
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.001, StatRejectNull, 2.02, 9283.91, 8583.92, 9821.720000000001, 35.0, 3245.7828587133117
