parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.001 mvrsFuzzPct=0.001 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 7716.33, 7717.329999999999, 0.0, 0.0, 1938.7801941169091, 0.012002000000000014
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.002, SampleSumRejectNull, 1.0, 9431.22, 9432.089999999998, 0.0, 0.0, 1870.4089878686962, 0.0020889999999999854
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 9246.7, 9247.699999999999, 0.0, 0.0, 1717.8482441705955, 0.005068999999999999
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 4147.75, 4148.749999999999, 0.0, 0.0, 2217.105551727296, 0.029749999999999995
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6699.1, 6700.099999999999, 0.0, 0.0, 2158.209287812468, 0.015860999999999997
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 8840.52, 8841.519999999999, 0.0, 0.0, 2089.6684401119714, 0.005928999999999995
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 7768.83, 7769.830000000002, 0.0, 0.0, 1986.7656331585767, 0.011963999999999999
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 1067.07, 1068.07, 0.0, 0.0, 697.5352070684318, 0.07963499999999998
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.003, StatRejectNull, 1.0, 9395.78, 9396.759999999998, 100.0, 1.0, 1889.1003310057567, 0.0030179999999999894
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 5678.13, 5679.129999999997, 0.0, 0.0, 2210.7109564798375, 0.02005600000000001
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 8191.63, 8192.63, 0.0, 0.0, 1606.6969761283551, 0.009960000000000002
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 9286.63, 9287.629999999996, 0.0, 0.0, 1311.5555165908913, 0.004858999999999998
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.08, StatRejectNull, 1.0, 864.8, 865.8, 0.0, 0.0, 654.583134521506, 0.07938399999999998
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.0, 2172.39, 2173.3899999999994, 0.0, 0.0, 1269.0901141762945, 0.04953199999999997
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.05, StatRejectNull, 1.0, 2115.09, 2116.0900000000006, 0.0, 0.0, 1210.629027365526, 0.04983299999999998
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.06, StatRejectNull, 1.0, 1618.99, 1619.9900000000007, 0.0, 0.0, 923.0014246467879, 0.059802
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.002, StatRejectNull, 1.0, 9553.619999999999, 9554.39, 800.0, 8.0, 1485.3559343713584, 0.0020250000000000034
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8754.4, 8755.4, 0.0, 0.0, 1721.3308107391792, 0.007967000000000002
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.01, StatRejectNull, 1.0, 8205.5, 8206.499999999996, 0.0, 0.0, 2051.7693267031746, 0.009724000000000017
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.001, StatRejectNull, 1.0, 9694.44, 9694.910000000002, 1700.0000000000002, 17.0, 1547.7894467846318, 9.779999999999956E-4
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.004, StatRejectNull, 1.0, 9174.02, 9175.02, 0.0, 0.0, 1955.3572920568763, 0.0038219999999999964
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.02, StatRejectNull, 1.0, 5971.28, 5972.28, 0.0, 0.0, 2315.875739671712, 0.019897999999999996
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 622.95, 623.9499999999998, 0.0, 0.0, 481.00318865886965, 0.09969
