parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.11, 996.08, 996.08, 1896.57, 0.0, 686.6086757389539
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.15, 210.12, 210.12, 307.4, 0.0, 176.33889417822718
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.17, 980.46, 980.4600000000003, 2005.94, 0.0, 693.5221037573351
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.17, 674.27, 674.2699999999999, 1214.96, 0.0, 395.8788667004087
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.3, 155.1, 155.10000000000005, 196.66, 0.0, 83.02656201481547
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.23, 1068.31, 1068.3099999999997, 2103.43, 0.0, 865.0130252776545
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.17, 619.17, 619.1699999999998, 1240.91, 0.0, 463.66211954396283
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.17, 277.34, 277.3400000000002, 460.88, 0.0, 134.29178828208373
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.14, 162.2, 162.2, 220.06, 0.0, 130.6395805259646
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.26, 210.27, 210.27, 293.83, 0.0, 127.41144807276932
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.012, StatRejectNull, 1.37, 1391.24, 1391.2399999999996, 2597.47, 0.0, 1287.1417724555442
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.25, 268.0, 268.0, 456.14, 0.0, 134.72408841777332
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.23, 289.9, 289.9, 482.06, 0.0, 211.82358225655616
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.25, 540.23, 540.2300000000002, 894.5, 0.0, 309.06765780327123
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.18, 276.9, 276.9, 472.26, 0.0, 178.3929090519015
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.22, 526.61, 526.6099999999999, 876.92, 0.0, 303.7893314453291
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.2, 192.71, 192.71, 282.62, 0.0, 105.15106228659793
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.03, StatRejectNull, 1.26, 374.8, 374.80000000000007, 603.36, 0.0, 342.60513714770826
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.31, 136.79, 136.79000000000002, 178.18, 0.0, 49.91638909216089
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.39, 701.44, 701.4400000000003, 1199.3, 0.0, 632.846779560424
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.21, 192.73, 192.72999999999996, 273.47, 0.0, 84.21399586767035
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.24, 164.86, 164.85999999999996, 205.31, 0.0, 97.94702854094146
